datetime_local,epsilon,fd,hour_cos,hour_sin,month_cos,month_sin,p_noct,p_ref_dc,poa,regimen_fd,relative_error,temperature,wind_speed,epsilon_hat_sin_fd,p_hybrid_sin_fd,epsilon_hat_con_fd,p_hybrid_con_fd
2021-05-22 12:00:00,-4.562974917332525,0.97384446763766,-1.0,1.2246467991473532e-16,-0.4999999999999998,0.8660254037844387,236.3419749173325,231.779,269.887,alta_fd,0.0196867486585606,12.0,5.1,-3.9552686,232.3867062958878,-4.970976,231.370999041478
2021-05-22 13:00:00,-5.646249085320022,0.982324132587701,-0.9659258262890683,-0.2588190451025208,-0.4999999999999998,0.8660254037844387,204.54824908532,198.902,233.548,alta_fd,0.0283870905537401,13.1,3.6,-5.3463407,199.2019084290395,-5.790422,198.75782712258197
2021-05-22 14:00:00,-5.21018647887999,0.9937771700874246,-0.8660254037844388,-0.4999999999999997,-0.4999999999999998,0.8660254037844387,152.13718647887998,146.927,172.344,alta_fd,0.0354610553463964,13.0,3.6,-4.0287213,148.10846514632993,-4.8110905,147.32609600951963
2021-05-22 15:00:00,-4.283108312932512,1.0,-0.7071067811865479,-0.7071067811865471,-0.4999999999999998,0.8660254037844387,89.3951083129325,85.112,100.783,alta_fd,0.0503232013456682,14.0,3.1,-2.8260477,86.56906065401222,-4.0160027,85.37910565790321
2021-05-22 16:00:00,-2.8588376711699937,1.0,-0.5000000000000004,-0.8660254037844385,-0.4999999999999998,0.8660254037844387,33.21583767116999,30.357,36.918,alta_fd,,12.3,6.7,-0.63797754,32.57786013067698,-1.2138684,32.0019692915771
2021-05-23 08:00:00,-2.4244635248124986,1.0,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.8660254037844387,20.711463524812498,18.287,22.695,alta_fd,,9.0,1.5,-2.1518848,18.559578730577268,-2.7163708,17.995092703813352
2021-05-23 09:00:00,-3.8964165108125,1.0,-0.7071067811865475,0.7071067811865476,-0.4999999999999998,0.8660254037844387,62.0164165108125,58.12,68.585,alta_fd,0.0670408897249225,10.0,1.0,-3.4564202,58.559996327630735,-3.4939837,58.52243276523755
2021-05-23 10:00:00,-5.300980024319998,1.0,-0.8660254037844387,0.49999999999999994,-0.4999999999999998,0.8660254037844387,102.41098002432,97.11,114.048,alta_fd,0.0545873753920296,10.4,1.5,-4.7855477,97.62543229101311,-5.288737,97.12224320409905
2021-05-23 11:00:00,-7.130672638530001,1.0,-0.9659258262890682,0.258819045102521,-0.4999999999999998,0.8660254037844387,128.79667263853,121.666,144.854,alta_fd,0.058608589404846,12.0,0.5,-10.28195,118.51472264158176,-8.4806795,120.31599312650607
2021-05-23 12:00:00,-7.788003882132529,1.0,-1.0,1.2246467991473532e-16,-0.4999999999999998,0.8660254037844387,140.10800388213252,132.32,157.823,alta_fd,0.0588573449375191,12.0,0.5,-10.64238,129.46562412139033,-8.819165,131.28883865233516
2021-05-23 13:00:00,-6.458824679632471,1.0,-0.9659258262890683,-0.2588190451025208,-0.4999999999999998,0.8660254037844387,133.95882467963247,127.5,150.827,alta_fd,0.0506574484677056,12.1,2.1,-6.6448803,127.31394438483267,-6.345034,127.61379055716543
2021-05-23 14:00:00,-5.390252120812519,1.0,-0.8660254037844388,-0.4999999999999997,-0.4999999999999998,0.8660254037844387,111.35325212081251,105.963,124.935,alta_fd,0.0508691913291669,12.0,2.6,-4.4305215,106.92273063262282,-5.1574917,106.19576043685255
2021-05-23 15:00:00,-4.214710752312513,1.0,-0.7071067811865479,-0.7071067811865471,-0.4999999999999998,0.8660254037844387,75.5527107523125,71.338,84.355,alta_fd,0.059080865069283,12.0,2.1,-3.423362,72.12934873563465,-3.942752,71.60995886785206
2021-05-23 16:00:00,-2.8909370471699987,1.0,-0.5000000000000004,-0.8660254037844385,-0.4999999999999998,0.8660254037844387,33.25393704717,30.363,36.918,alta_fd,,12.0,4.1,-1.9529587,31.30097834412892,-2.3915522,30.862384837315872
2021-05-24 08:00:00,-2.3829153290325,1.0,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.8660254037844387,19.6989153290325,17.316,21.747,alta_fd,,11.0,1.0,-2.8246949,16.874220457130033,-3.033166,16.66574939733084
2021-05-24 09:00:00,-3.767606216520001,1.0,-0.7071067811865475,0.7071067811865476,-0.4999999999999998,0.8660254037844387,61.80460621652,58.037,68.612,alta_fd,0.0649173151010562,11.0,2.1,-2.632643,59.17196323212974,-2.9220057,58.88260056313865
2021-05-24 10:00:00,-4.890129044492497,1.0,-0.8660254037844387,0.49999999999999994,-0.4999999999999998,0.8660254037844387,100.13012904449248,95.24,112.039,alta_fd,0.05134532806061,11.7,3.1,-3.8395848,96.29054421706938,-4.792786,95.33734292312407
2021-05-24 11:00:00,-5.87457537013249,1.0,-0.9659258262890682,0.258819045102521,-0.4999999999999998,0.8660254037844387,128.0385753701325,122.164,143.873,alta_fd,0.0480876147648447,11.8,3.1,-5.4792123,122.55936308604436,-5.6719055,122.36666985255437
2021-05-24 12:00:00,-6.162786347292496,1.0,-1.0,1.2246467991473532e-16,-0.4999999999999998,0.8660254037844387,139.2527863472925,133.09,156.841,alta_fd,0.0463054049687617,12.0,3.6,-5.60049,133.6522962540613,-5.600828,133.65195817651613
2021-05-24 13:00:00,-6.2252250398800015,1.0,-0.9659258262890683,-0.2588190451025208,-0.4999999999999998,0.8660254037844387,132.68922503988,126.464,149.844,alta_fd,0.0492252739109944,12.9,2.6,-6.094875,126.5943501810238,-6.1665635,126.52266152898522
2021-05-24 14:00:00,-5.3337479243924975,1.0,-0.8660254037844388,-0.4999999999999997,-0.4999999999999998,0.8660254037844387,110.2317479243925,104.898,123.949,alta_fd,0.0508469935021878,12.6,2.7,-4.489638,105.7421100726774,-5.18012,105.05162793309
2021-05-24 15:00:00,-4.108854873312495,1.0,-0.7071067811865479,-0.7071067811865471,-0.4999999999999998,0.8660254037844387,74.5888548733125,70.48,83.365,alta_fd,0.0582981678960342,12.3,2.8,-2.7600772,71.82877763522961,-4.0085554,70.58029946102002
2021-05-24 16:00:00,-2.879793516692505,1.0,-0.5000000000000004,-0.8660254037844385,-0.4999999999999998,0.8660254037844387,32.402793516692505,29.523,35.969,alta_fd,,12.0,2.8,-2.3007689,30.102024664458618,-2.955564,29.447229494628296
2021-05-25 08:00:00,-2.93183902877,1.0,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.8660254037844387,26.85383902877,23.922,29.338,alta_fd,,8.0,0.5,-3.40311,23.450729001456768,-3.848921,23.004917968207867
2021-05-25 09:00:00,-4.420925326292505,0.9913341567801892,-0.7071067811865475,0.7071067811865476,-0.4999999999999998,0.8660254037844387,103.8159253262925,99.395,115.009,alta_fd,0.0444783472638714,9.0,1.5,-4.1229177,99.69300767416237,-4.8877354,98.92818995947121
2021-05-25 10:00:00,-6.93444824912001,0.91306403774991,-0.8660254037844387,0.49999999999999994,-0.4999999999999998,0.8660254037844387,212.33744824912,205.403,239.992,alta_fd,0.0337602091942182,10.3,0.5,-7.148904,205.18854440237928,-7.4774723,204.85997594382215
2021-05-25 11:00:00,-7.137206404812503,0.9829884953046952,-0.9659258262890682,0.258819045102521,-0.4999999999999998,0.8660254037844387,213.4182064048125,206.281,242.905,alta_fd,0.0345994367140575,12.0,1.5,-6.541692,206.87651462472218,-7.391393,206.02681322015064
2021-05-25 12:00:00,-8.870590060792466,0.9839887340186112,-1.0,1.2246467991473532e-16,-0.4999999999999998,0.8660254037844387,188.09359006079248,179.223,213.309,alta_fd,0.049494708049706,12.0,0.5,-10.672692,177.42089776190332,-9.60172,178.49187020453027
2021-05-25 13:00:00,-6.973466199249984,1.0,-0.9659258262890683,-0.2588190451025208,-0.4999999999999998,0.8660254037844387,132.93546619925,125.962,149.89,alta_fd,0.0553616662108412,12.5,1.0,-8.657265,124.27820148977733,-7.9174743,125.01799192938304
2021-05-25 14:00:00,-6.495179166992514,1.0,-0.8660254037844388,-0.4999999999999997,-0.4999999999999998,0.8660254037844387,110.09617916699251,103.601,123.989,alta_fd,0.0626941744480508,13.0,0.0,-8.2744055,101.82177368756136,-6.597983,103.49819628353914
2021-05-25 15:00:00,-4.494845851732478,1.0,-0.7071067811865479,-0.7071067811865471,-0.4999999999999998,0.8660254037844387,74.41284585173248,69.918,83.393,alta_fd,0.064287391683579,13.0,0.5,-5.219974,69.19287181074738,-5.007732,69.40511393721222
2021-05-25 16:00:00,-2.9645535006924923,1.0,-0.5000000000000004,-0.8660254037844385,-0.4999999999999998,0.8660254037844387,32.32855350069249,29.364,35.969,alta_fd,,12.6,0.5,-4.131057,28.197496715108997,-4.301402,28.027151408712513
2021-05-26 08:00:00,-2.3820712933199992,1.0,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.8660254037844387,19.99907129332,17.617,21.748,alta_fd,,7.0,2.6,-1.8825694,18.116501861061394,-2.6857007,17.31337063833648
2021-05-26 09:00:00,-3.898861669832506,1.0,-0.7071067811865475,0.7071067811865476,-0.4999999999999998,0.8660254037844387,61.185861669832505,57.287,66.637,alta_fd,0.0680584019032678,6.0,0.5,-4.3721366,56.813725076967515,-4.217567,56.96829470282201
2021-05-26 10:00:00,-5.208947040129999,1.0,-0.8660254037844387,0.49999999999999994,-0.4999999999999998,0.8660254037844387,100.90194704013,95.693,111.094,alta_fd,0.0544339402059711,7.5,1.5,-4.7855477,96.11639930682311,-5.288737,95.61321021990905
2021-05-26 11:00:00,-7.009748470130006,1.0,-0.9659258262890682,0.258819045102521,-0.4999999999999998,0.8660254037844387,127.19674847013,120.187,141.906,alta_fd,0.0583236828453161,10.0,0.5,-10.117287,117.0794617880011,-8.404138,118.79261085874084
2021-05-26 12:00:00,-6.596821292292503,1.0,-1.0,1.2246467991473532e-16,-0.4999999999999998,0.8660254037844387,136.6388212922925,130.042,153.841,alta_fd,0.0507283899993271,12.0,2.1,-6.9013205,129.737500834834,-6.445667,130.19315450228396
2021-05-26 13:00:00,-5.881071262720013,1.0,-0.9659258262890683,-0.2588190451025208,-0.4999999999999998,0.8660254037844387,131.07607126272,125.195,147.872,alta_fd,0.0469752886514638,12.7,3.6,-5.4920173,125.58405399358548,-5.512755,125.56331634557523
2021-05-26 14:00:00,-5.437072499999999,1.0,-0.8660254037844388,-0.4999999999999997,-0.4999999999999998,0.8660254037844387,109.2310725,103.794,123.0,alta_fd,0.0523833025030348,13.0,2.1,-4.9434834,104.28758914733886,-5.191765,104.03930766845703
2021-05-26 15:00:00,-4.049028800000016,1.0,-0.7071067811865479,-0.7071067811865471,-0.4999999999999998,0.8660254037844387,73.81902880000001,69.77,82.4,alta_fd,0.0580339515551098,12.0,3.1,-2.6376104,71.18141836451417,-3.6579025,70.16112632082826
2021-05-26 16:00:00,-2.853550117000001,1.0,-0.5000000000000004,-0.8660254037844385,-0.4999999999999998,0.8660254037844387,31.575550117,28.722,35.02,alta_fd,,11.8,2.6,-2.3444211,29.231128968699828,-2.9388907,28.6366594214281
2021-05-27 08:00:00,-2.3213231999999984,1.0,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.8660254037844387,18.9863232,16.665,20.8,alta_fd,,9.0,4.6,-1.5305803,17.455742917788697,-2.271803,16.71452029777832
2021-05-27 09:00:00,-3.618428360319996,1.0,-0.7071067811865475,0.7071067811865476,-0.4999999999999998,0.8660254037844387,59.38142836032,55.763,65.648,alta_fd,0.0648894134160643,10.0,3.1,-1.9836426,57.397785782195,-3.1627853,56.21864306864825
